Observation id,Behavior,Start (s),Stop (s),Duration (s),Start = 0 (ms),Stop (ms)
1456_Lpaw,start,508.554,508.554,NA,,
1456_Lpaw,lick,515.302,517.556,2.254,6748,9002
1456_Lpaw,lick,518.301,520.053,1.752,9747,11499
1456_Lpaw,lick,521.304,522.555,1.251,12750,14001
1456_Lpaw,lick,523.309,525.055,1.746,14755,16501
1456_Lpaw,lick,526.051,527.555,1.504,17497,19001
1456_Lpaw,lick,528.306,531.555,3.249,19752,23001
1456_Lpaw,lick,532.305,534.055,1.75,23751,25501
1456_Lpaw,lick,535.555,537.055,1.5,27001,28501
1456_Lpaw,lick,537.552,539.555,2.003,28998,31001
1456_Lpaw,lick,541.051,543.305,2.254,32497,34751
1456_Lpaw,lick,550.555,552.555,2,42001,44001
1456_Lpaw,lick,554.555,556.051,1.496,46001,47497
1456_Lpaw,lick,556.805,559.051,2.246,48251,50497
1456_Lpaw,lick,570.555,576.855,6.3,62001,68301
1456_Lpaw,lick,588.855,591.855,3,80301,83301
1456_Lpaw,lick,656.1,657.607,1.507,147546,149053
1456_Lpaw,lick,697.607,710.607,13,189053,202053
1456_Lpaw,lick,713.6,718.107,4.507,205046,209553
1456_Lpaw,lick,735.101,739.604,4.503,226547,231050
1456_Lpaw,lick,742.104,746.607,4.503,233550,238053
1456_Lpaw,lick,799.012,807.512,8.5,290458,298958
1456_Lpaw,lick,819.219,831.219,12,310665,322665
1456_Lpaw,lick,839.219,841.219,2,330665,332665
1456_Lpaw,lick,915.469,919.469,4,406915,410915
1456_Lpaw,lick,925.469,955.469,30,416915,446915
1456_Lpaw,lick,956.968,972.469,15.501,448414,463915
1456_Lpaw,lick,973.569,978.068,4.499,465015,469514
1456_Lpaw,lick,978.569,981.068,2.499,470015,472514
1456_Lpaw,lick,981.567,983.069,1.502,473013,474515
1456_Lpaw,lick,984.066,988.069,4.003,475512,479515
1456_Lpaw,lick,989.569,990.569,1,481015,482015
1456_Lpaw,lick,1013.569,1015.069,1.5,505015,506515
1456_Lpaw,lick,1018.564,1023.567,5.003,510010,515013
1456_Lpaw,lick,1049.77,1057.763,7.993,541216,549209
1456_Lpaw,lick,1061.764,1068.769,7.005,553210,560215
