start,end
2650,3371
3929,11514
13382,13999
15939,16724
19580,20628
22334,28119
29659,43614
44883,51314
51651,52488
53027,54193
55264,63043
63413,70233
74905,75601
82358,82552
83222,83756
96730,108077
131897,147146
152635,157804
157910,158588
272714,273426
276844,278529
416933,426978
436317,438279
593837,597344
641769,642241
1002452,1008951
1040206,1046292
1048426,1048746
1074272,1078535
1090423,1091248
1106606,1106653
1164265,1170434
1191209,1193796
1347199,1353895
1355598,1357063
1369490,1369970
1386374,1387303
1396576,1401413
1432039,1432741
1463484,1470083
1478167,1480813
1488102,1488747
1491068,1499337
1504041,1504305
1510578,1544667
1546555,1546921
1547161,1582384
1583305,1584772
1589177,1606575
1628029,1630787
1661252,1662133
1665718,1665797
1675404,1680466
1699590,1700255
1723579,1724605
1727643,1737878
1740314,1743045
1745034,1746131
1746404,1748341
1839390,1844043
1847329,1849340
1891499,1892235
1924677,1938813
1939248,1942615
2132003,2132876
2133786,2135655
2143044,2143394
2143394,2144567
2174409,2174873
2192898,2222798
2224159,2233390
2234207,2236890
2239662,2253545
2260517,2268130
2268367,2271951
2282374,2282916
2670090,2670804
2690641,2690868
2704608,2711400
3137768,3149473
3192727,3224119
3224743,3245293
3246495,3259347
3333920,3360590
3361743,3378042
3378965,3384019
3384726,3386813
3387918,3397337
