13626,17151
23452,27826
29101,32900
34126,35726
55201,57747
58852,62502
75302,78572
80072,82276
84151,87071
88127,91072
99126,100602
126602,129201
130301,146501
161826,180176
296376,310002
350676,355476
361401,366176
372626,378476
379202,381376
383574,384276
392701,408401
413176,417501
439201,447127
464251,482101
933551,960801
1012502,1014302
1057301,1073851
1131602,1137451
1150976,1170502
1176301,1185301
1187527,1197402
1205401,1211251
1215751,1227376
1246997,1250051
1262602,1275601
1278702,1282301
1362926,1366026
1367576,1371201
1566351,1568451
1571026,1571526
1587502,1591151
1617376,1642526
1646626,1651826
1735526,1745302
1747876,1750451
1753051,1754601
1756651,1767902
1778826,1784526
1966451,1968251
2050901,2055701
2083902,2099151
2138026,2173926
2178126,2201502
2212902,2220101
2223702,2225501
2474402,2482651
2490126,2491626
3297353,3300752
