start,end
10579,14853
16647,21290
21584,32578
35681,46807
52449,53442
54084,56760
60821,61282
61676,66337
72331,73091
75119,76046
92257,92946
108292,108332
122046,132836
135312,172425
190473,198150
304795,306014
325358,326501
328229,329792
345221,345597
408715,419615
439824,445662
453473,454261
484615,486548
500959,511819
513811,514422
634503,640486
641762,644200
648244,655386
657695,660519
664980,665055
699402,700049
755728,756058
996294,997862
1010456,1019064
1019792,1020237
1021015,1029193
1047703,1074927
1076628,1080924
1110451,1110884
1111211,1111487
1133600,1133624
1172564,1174316
1174659,1174970
1181832,1182089
1182317,1182411
1270861,1279648
1284005,1286448
1307907,1310295
1316304,1363486
1370105,1370330
1385309,1393082
1394373,1395500
1420346,1421104
1440986,1441360
1449354,1454429
1457590,1460750
1542827,1548193
1548486,1550340
1552050,1552211
1555855,1556731
1567208,1577080
1578372,1580165
1582376,1583600
1590262,1594217
1594447,1594957
1598552,1605060
1610971,1613395
1615923,1616083
1620845,1625116
1627877,1628005
1683719,1692199
1696341,1702501
