start,end
15065,15811
22467,23509
25000,26735
28189,29722
30038,32150
35226,38394
39132,40895
42970,43383
54838,57271
59345,60499
62689,63626
64801,65455
66895,68775
70483,71366
74317,75051
77693,78994
80068,80622
81929,82332
101208,102925
182623,182997
187069,188156
188946,189446
401292,411532
435087,439221
1295170,1295548
1610154,1617140
1617594,1641316
1643869,1676899
1711861,1728382
1746807,1758490
1806949,1812145
1814867,1815564
1816780,1823535
1849128,1850155
1867714,1871115
1887673,1889603
1902528,1902878
1966617,1970757
1995150,1996614
2002238,2002504
2011929,2016982
2017206,2018020
2066415,2066616
2111278,2129584
2129918,2140272
2140272,2149347
2180340,2184162
2188067,2188251
2193757,2197679
2197951,2199286
2199776,2202030
2202436,2208540
2209079,2210616
2210807,2211292
2211292,2211337
2212382,2214320
2217227,2217664
2219855,2220107
2220107,2227883
2229025,2230244
2232352,2233189
2248065,2256984
2261638,2264226
2303970,2304155
2315062,2316346
2319920,2321241
2385662,2389668
2533123,2533509
2533509,2533827
2574272,2583490
2631614,2634170
2634170,2644107
2680366,2681339
2683479,2687133
2691706,2698291
2699115,2701162
2744657,2806834
2929322,2955964
2957108,2958625
3246724,3247412
3419120,3427837
3428291,3429327
3429918,3433838
3437946,3440727
3447619,3448331
3479942,3488430
3491366,3500121
3501594,3504550
