start,end
15250,18386
21825,23289
24687,26038
27407,28908
30606,33594
36147,36544
42424,44158
44517,45818
46598,46926
49111,54893
55905,56786
60191,60670
60865,63617
84634,89675
93866,95213
98302,99200
117890,120240
121824,123040
124890,125986
126901,128336
131524,131783
132163,135469
168173,169348
228426,230744
1227449,1257487
1264494,1265509
1266907,1267417
1269066,1269761
1346290,1348506
1349335,1356352
1382278,1397284
1397724,1401412
1401860,1402388
1428869,1436617
1439602,1446603
1448401,1452240
1456487,1463787
1464247,1464725
1465743,1496402
1504469,1509830
1514218,1518442
1529419,1541567
1542177,1545431
1545858,1556318
1557212,1558695
1563755,1566408
1569091,1573117
1573794,1574974
1575319,1577786
1591423,1607550
1608243,1612884
1614352,1621031
1622981,1624714
1625059,1627527
1631385,1631646
1634868,1636331
1643464,1645847
1646106,1651248
1652696,1659059
1661526,1671786
1683179,1693435
1697823,1714835
1718186,1724515
1727230,1728193
1736764,1743045
1745062,1748164
1748477,1749407
1749719,1752219
1767079,1780277
1781735,1783918
1786687,1791276
1799611,1802063
1809664,1810608
1810852,1821194
1844005,1851303
1853320,1854850
1858608,1873748
1878070,1878597
1881767,1883032
1902571,1910839
1930976,1932440
1956610,1974270
1987080,1988745
1988973,1989783
1990244,1993029
1994194,1999721
2177473,2180624
2181001,2201391
2202353,2203845
2204692,2228423
2232734,2233629
2236816,2239650
2239895,2247896
2249258,2252227
2261331,2262796
2390575,2393205
2429696,2433317
2434315,2435745
2441053,2465341
2472046,2482889
2685005,2689505
2690433,2692633
2693126,2711434
3432827,3438185
3448194,3460373
3462267,3464518
3471985,3476525
3533817,3545555
3546516,3549685
3549880,3554472
3556954,3559070
3560602,3561433
3568196,3571483
