start,end
7796,10419
12713,15472
16100,17290
20551,22328
24956,27563
28174,29867
30228,35205
37014,38306
40151,40696
41271,41963
42957,43182
44393,44934
52063,56702
57396,59072
61780,62474
62805,63083
68364,69523
70883,71674
73689,79148
83223,87348
87913,88388
101996,102252
106047,106205
110467,113244
117188,118961
119272,122948
123146,123538
124768,144163
146041,148951
152429,154819
155064,159355
159967,161942
162602,168210
170836,170880
172744,173120
212750,217014
217574,230283
231758,233434
245028,245434
247862,251471
253162,253189
258037,258913
259322,260550
261378,265570
267551,267963
268456,269348
274059,276466
281697,281787
281866,284267
502062,511636
1367746,1368687
1369164,1372410
1410923,1414442
1414835,1416662
1417538,1423217
1430042,1430085
1430231,1431477
1432738,1435266
1436711,1438621
1540159,1544367
1546778,1558087
1559978,1564907
1566616,1567158
1569939,1571101
1581230,1599153
1599407,1607901
1631194,1632595
1667725,1668690
1669866,1670027
1699790,1702431
1718042,1745402
1745795,1778989
1781758,1800899
1801124,1804632
1807544,1813087
1823215,1845538
1851141,1853667
1853926,1854318
1854963,1856388
1859033,1862909
1864401,1864629
1917828,1919414
1920174,1932135
1933110,1940987
1946465,1946540
1954118,1956357
1957101,1961509
1962136,1967759
1969419,1973061
1975540,1975964
1976542,1976751
2035887,2036829
2058958,2059769
2086465,2094673
2098249,2104542
2106034,2107327
2111338,2132732
2133841,2141603
2142212,2144806
2146751,2149129
2149855,2157083
2162378,2162509
2165654,2170265
2172441,2174418
2174729,2180506
2185501,2187462
2187903,2189881
2190009,2190256
2190367,2192149
2198659,2209451
2213293,2213535
2234097,2234407
2241802,2245661
2245972,2246234
2247713,2249590
2280434,2281418
2450508,2453896
2491125,2492826
2493886,2494164
2495009,2498671
2499181,2512741
2514983,2515160
2517239,2521834
2523459,2532770
2533978,2539239
2541050,2546427
2550455,2553296
2556640,2556868
2557083,2559377
2563655,2563866
2567994,2568321
2568934,2569844
2570972,2573818
2574210,2580206
2588881,2590574
2593535,2596562
2598784,2600678
2600889,2602832
3496885,3500258
3500468,3500562
3519159,3522453
3529914,3530174
3538253,3539463
