Observation id,Behavior,Start (s),Stop (s),Duration (s),Start = 0 (ms),Stop (ms)
1482_Lpaw,start,387,387,NA,,
1482_Lpaw,lick,394.157,395.657,1.5,7157,8657
1482_Lpaw,lick,397.404,397.707,0.303,10404,10707
1482_Lpaw,lick,402.955,403.456,0.501,15955,16456
1482_Lpaw,lick,403.903,404.205,0.302,16903,17205
1482_Lpaw,lick,405.956,409.205,3.249,18956,22205
1482_Lpaw,lick,409.706,413.705,3.999,22706,26705
1482_Lpaw,lick,414.201,419.955,5.754,27201,32955
1482_Lpaw,lick,420.955,425.955,5,33955,38955
1482_Lpaw,lick,426.451,427.955,1.504,39451,40955
1482_Lpaw,lick,428.955,430.455,1.5,41955,43455
1482_Lpaw,lick,431.455,433.455,2,44455,46455
1482_Lpaw,lick,433.705,436.7,2.995,46705,49700
1482_Lpaw,lick,437.455,446.455,9,50455,59455
1482_Lpaw,lick,454.455,462.205,7.75,67455,75205
1482_Lpaw,lick,462.955,463.955,1,75955,76955
1482_Lpaw,lick,464.205,465.455,1.25,77205,78455
1482_Lpaw,lick,467.451,469.955,2.504,80451,82955
1482_Lpaw,lick,471.705,472.955,1.25,84705,85955
1482_Lpaw,lick,474.702,475.955,1.253,87702,88955
1482_Lpaw,lick,481.704,486.951,5.247,94704,99951
1482_Lpaw,lick,488.455,492.205,3.75,101455,105205
1482_Lpaw,lick,496.455,498.701,2.246,109455,111701
1482_Lpaw,lick,498.955,504.205,5.25,111955,117205
1482_Lpaw,lick,505.455,508.455,3,118455,121455
1482_Lpaw,lick,511.954,514.205,2.251,124954,127205
1482_Lpaw,lick,520.755,523.754,2.999,133755,136754
1482_Lpaw,lick,524.255,524.755,0.5,137255,137755
1482_Lpaw,lick,525.755,530.755,5,138755,143755
1482_Lpaw,lick,534.255,536.255,2,147255,149255
1482_Lpaw,lick,539.5,540.005,0.505,152500,153005
1482_Lpaw,lick,540.503,545.752,5.249,153503,158752
1482_Lpaw,lick,551.255,552.755,1.5,164255,165755
1482_Lpaw,lick,559.755,561.005,1.25,172755,174005
1482_Lpaw,lick,562.755,563.755,1,175755,176755
1482_Lpaw,lick,565.755,567.504,1.749,178755,180504
1482_Lpaw,lick,577.755,578.255,0.5,190755,191255
1482_Lpaw,lick,604.005,605.255,1.25,217005,218255
1482_Lpaw,lick,608.005,609.255,1.25,221005,222255
1482_Lpaw,lick,666.255,666.754,0.499,279255,279754
1482_Lpaw,lick,667.805,668.802,0.997,280805,281802
1482_Lpaw,lick,669.805,673.055,3.25,282805,286055
1482_Lpaw,lick,681.302,686.555,5.253,294302,299555
1482_Lpaw,lick,694.055,694.555,0.5,307055,307555
1482_Lpaw,lick,1501.775,1504.773,2.998,1114775,1117773
1482_Lpaw,lick,1506.279,1506.779,0.5,1119279,1119779
1482_Lpaw,lick,1615.12,1630.113,14.993,1228120,1243113
1482_Lpaw,lick,1634.12,1635.12,1,1247120,1248120
1482_Lpaw,lick,1655.37,1660.371,5.001,1268370,1273371
1482_Lpaw,lick,1662.87,1663.371,0.501,1275870,1276371
1482_Lpaw,lick,1701.366,1703.868,2.502,1314366,1316868
1482_Lpaw,lick,1717.368,1720.861,3.493,1330368,1333861
1482_Lpaw,lick,1749.86,1753.867,4.007,1362860,1366867
1482_Lpaw,lick,1763.365,1766.361,2.996,1376365,1379361
1482_Lpaw,lick,1772.868,1773.368,0.5,1385868,1386368
1482_Lpaw,lick,1797.062,1800.566,3.504,1410062,1413566
1482_Lpaw,lick,1821.566,1825.065,3.499,1434566,1438065
1482_Lpaw,lick,1838.165,1840.664,2.499,1451165,1453664
1482_Lpaw,lick,1846.668,1848.168,1.5,1459668,1461168
1482_Lpaw,lick,1860.667,1862.668,2.001,1473667,1475668
1482_Lpaw,lick,1877.161,1882.168,5.007,1490161,1495168
1482_Lpaw,lick,1912.161,1915.167,3.006,1525161,1528167
1482_Lpaw,lick,1943.017,1944.018,1.001,1556017,1557018
1482_Lpaw,lick,1998.784,1999.786,1.002,1611784,1612786
1482_Lpaw,lick,2011.782,2013.786,2.004,1624782,1626786
1482_Lpaw,lick,2027.786,2028.786,1,1640786,1641786
1482_Lpaw,lick,2032.286,2033.786,1.5,1645286,1646786
1482_Lpaw,lick,2169.712,2172.218,2.506,1782712,1785218
1482_Lpaw,lick,2254.714,2255.718,1.004,1867714,1868718
1482_Lpaw,lick,2264.215,2265.215,1,1877215,1878215
1482_Lpaw,lick,2307.215,2317.218,10.003,1920215,1930218
1482_Lpaw,lick,2633.368,2639.363,5.995,2246368,2252363
1482_Lpaw,lick,2815.318,2816.315,0.997,2428318,2429315
1482_Lpaw,lick,2965.166,2965.664,0.498,2578166,2578664
1482_Lpaw,end,3988.015,3988.015,NA,3601015,3601015
