start,end
14078,15389
19026,21345
22480,22852
23677,25165
26906,27492
27492,28415
28415,29474
31964,32345
37435,43466
45273,50570
52424,53986
54193,55562
56270,60692
61878,62780
64967,66381
74588,75121
76319,76619
77869,79974
81346,84691
86296,91060
93300,95363
97518,98222
99263,100631
103053,103852
105874,106337
180736,183933
187835,189312
190948,196852
198453,200300
208239,209701
210205,211342
214719,218081
220299,221611
221611,222190
222430,223550
223550,223805
226695,226954
260565,261088
262761,263849
264203,268638
276379,286910
287157,291126
291913,292600
294588,295421
295875,299945
300385,301456
345500,347056
351629,353730
354149,354536
358310,359847
529270,530093
531011,532047
542870,543345
556355,557069
608079,611381
626888,627420
630960,634874
639859,642561
664613,665392
665581,666249
668656,669909
685718,685914
686367,686570
688411,688848
776480,777179
971528,971596
1034422,1039367
1047407,1050703
1107762,1110344
1110884,1114771
1123345,1125123
1125479,1131999
1140383,1140733
1199530,1232832
1233889,1250558
1251529,1254791
1269734,1270751
1271322,1272977
1273166,1276002
1277257,1280557
1281579,1286746
1307349,1308895
1308895,1309209
1311300,1327757
1390737,1395303
1429227,1431723
1454960,1456240
1489330,1494236
1497076,1514272
1514821,1524392
1525411,1526682
1527622,1535175
1535698,1536568
1537423,1539738
1540328,1540894
1542510,1542877
1542877,1545031
1545622,1552074
1567045,1571224
1571846,1572116
1573156,1586740
1588024,1606368
1610071,1620570
1700680,1701743
1703263,1706427
1710967,1711447
1912857,1917303
1917976,1938682
1941594,1942714
1943453,1946972
1947679,1951366
1960173,1973238
1975228,1992099
1993619,1995801
1996656,1997857
1998977,2000140
2000140,2001068
2709480,2710381
2745294,2750336
2750624,2760844
2762529,2776465
2777850,2783154
2786855,2800842
2800842,2804478
2806352,2838326
2841383,2842685
2844774,2852458
2858696,2865013
2865731,2923851
2933759,2937904
2947223,2966403
3263282,3264682
3303874,3305528
3341587,3343807
3345079,3369885
3370767,3373412
3373412,3374387
3374843,3381982
3476746,3477080
3517340,3519440
3519863,3520950
3524132,3524809
