start,end
13872,14881
15485,16232
16388,23511
29334,30181
32683,32979
33784,35581
35931,36849
37250,43195
44419,45288
46478,47281
49473,50455
84920,102702
102940,103197
106236,108523
110215,113879
122215,124434
142190,148375
151562,153823
155645,156963
158101,159299
198127,198974
199136,199594
228385,230066
230551,234617
235071,235536
236874,241170
249863,252341
254112,257113
262272,263569
266491,269493
269912,272370
276344,279058
281796,284909
296352,297730
603769,604620
605772,607271
629494,631046
636953,641615
644503,645151
645339,649697
693420,693947
702674,703256
703340,703340
835693,836756
837325,837688
905398,905814
908722,909136
957794,959507
962876,964889
965260,966214
1012590,1016586
1020071,1029067
1034623,1035312
1041533,1042605
1063508,1064213
1064651,1065864
1066119,1068458
1068678,1069803
1070538,1071669
1072090,1073387
1079089,1081900
1094007,1098420
1099442,1102725
1111517,1113762
1114070,1117092
1118413,1122048
1157676,1160464
1167904,1171563
1174368,1174781
1176636,1177802
1187763,1188448
1190170,1193792
1202231,1203113
1240871,1241666
1281791,1283404
1297146,1301050
1312272,1313036
1349880,1351278
1372182,1375729
1384098,1388088
1396679,1398839
1441948,1442884
1601601,1602303
1627242,1627929
1714948,1717783
1809334,1810234
1825672,1826082
1939014,1943238
1944738,1945323
1994454,1994894
1995196,1995983
2002421,2003499
2004155,2023290
2064199,2098667
2099541,2100739
2101762,2104149
2107288,2146674
2147979,2149161
2150186,2160167
2160834,2190124
2190501,2195187
2195441,2197265
2198120,2199243
2200713,2222587
2224036,2226504
2227575,2236900
2237667,2243203
2252325,2253408
2259813,2260342
2268598,2270653
2271282,2277654
2284212,2285006
2285661,2287392
2288286,2289767
2294751,2295157
2295879,2302127
2305782,2306843
2307432,2308203
2316125,2317744
2318682,2319045
2319530,2320268
2326624,2329454
2336624,2336704
2532800,2534150
2748346,2749096
2750267,2751029
2855900,2859740
2896170,2897105
2924011,2924707
3402933,3404066
