start,end
12462,12722
13249,13576
18271,22748
23390,28049
29343,32370
35812,37822
40133,42809
43320,44714
46424,47683
48844,49908
55120,55729
57490,57916
60760,60986
62247,63141
63654,64765
65726,66202
66611,69521
71132,73794
74153,83430
84089,84100
89014,90524
92152,93397
93857,95434
95946,97907
98885,103614
104073,105384
105996,106406
110850,112093
116124,118535
119295,123405
126265,128542
130319,130728
133773,135683
137346,139090
146301,147709
150871,152081
156460,156653
160348,160475
161520,162763
163271,171931
172306,174466
174960,177788
184014,192207
193534,195343
195989,196366
198744,201921
202381,203059
204087,204896
206472,207765
208027,213123
220485,220662
221923,224065
226775,228237
230648,231357
231902,237463
242271,242781
247143,247187
247933,248192
250837,253563
254475,256933
259210,264453
268612,270588
272751,274096
275275,277434
279395,279688
281449,283132
287877,290537
291215,292675
293006,294585
296977,298536
300214,300824
301283,304625
305086,311497
318222,320300
335108,337167
343129,350175
350717,352727
355121,357281
363823,364048
369343,372970
374493,379321
379779,387389
394381,398391
400583,410809
411184,413146
416060,420287
425229,427022
430313,435290
483777,483901
485845,486006
490267,494160
494570,501981
505106,506367
513145,516569
521713,521856
776247,776770
777647,778140
779669,780227
780838,781497
790291,790347
795294,796786
798981,800558
800785,802893
805518,805558
806522,806730
810191,810315
868462,869194
894896,896245
900021,900363
901191,901269
956743,956876
983204,983305
1083039,1083486
1221045,1230587
1230961,1232552
1232662,1232706
1232803,1234198
1235893,1235987
1239984,1241142
1250820,1251493
1252904,1253661
1260706,1261178
1306958,1308559
1320955,1321262
1321523,1331633
1331959,1333987
1341214,1341452
1342013,1349154
1351703,1351910
1360888,1361731
1361975,1363980
1364157,1365116
1384095,1390417
1413388,1413608
1414268,1414493
1452889,1453635
1454095,1454254
1454482,1454640
1457752,1465227
1465670,1469495
1475492,1476247
1485644,1491267
1492711,1497616
1498310,1500685
1501760,1502268
1503329,1505237
1506915,1514439
1514604,1515828
1516972,1519515
1530996,1545569
1556622,1574162
1574348,1576659
1577057,1585632
1586907,1588385
1590796,1596325
1597519,1598458
1599552,1599760
1606405,1610830
1611274,1613334
1613809,1620086
1620477,1621302
1625514,1627388
1628630,1628804
1634716,1640039
1656167,1664698
1665040,1678415
1678730,1681871
1682616,1683174
1689972,1693547
1699741,1704248
1716204,1716929
1717190,1718150
1721701,1721895
1728540,1734515
1739859,1740602
1755331,1755372
1757934,1758761
1760489,1769899
1772758,1773584
1775312,1776488
1778363,1778790
1783185,1783526
1793322,1796297
1797691,1798484
1800178,1803040
1805181,1805274
1810487,1812030
1817426,1819052
1856147,1858670
1925034,1926288
1930981,1931492
1936767,1937010
1939938,1940582
1956461,1956772
1971534,1978877
1979437,1995831
1996166,1999393
2000570,2001746
2002807,2004967
2014045,2015271
2017765,2018177
2022541,2023466
2024677,2025738
2026165,2026726
2029171,2029364
2053543,2055881
2056291,2056951
2061113,2061390
2061651,2068127
2071086,2072096
2072424,2074584
2075176,2076120
2079132,2080892
2082251,2082579
2091007,2092832
2093662,2095056
2096268,2096995
2098706,2098764
2105911,2107287
2142300,2149923
2153497,2155690
2157351,2160078
2163556,2166150
2166361,2168024
2170768,2176247
2176405,2182568
2184109,2187286
2188580,2192124
2218800,2220089
2222849,2225560
2231236,2234414
2248025,2248099
2249776,2249903
2252832,2253025
2287680,2288888
2302365,2303058
2483689,2501367
2503990,2505682
