start,end
12325,13106
18655,19680
21825,24754
26327,30055
30830,32155
34030,35405
36480,37804
38055,46505
51255,52830
54680,59480
61630,71978
75406,78880
79953,96106
118830,119380
120455,128180
130055,134025
135355,136155
138055,138578
139655,140176
141480,143355
143606,144405
144930,146025
146555,147080
148155,182504
184655,196355
199280,201655
203776,205380
206952,208005
212754,214880
216205,221177
222455,223255
225080,226680
229080,230951
233330,234380
236455,249605
255376,257230
257780,259905
263105,265230
275080,276655
288055,289106
290951,292230
304880,307280
308606,328178
331080,334030
337177,339006
343228,351978
354305,355080
362179,362706
367205,367706
385455,386255
394880,395406
399680,418630
426880,429255
432980,434855
464680,474430
475755,483953
486330,487427
489005,494806
545430,550980
567830,575855
818256,826707
883880,890155
899230,899805
900954,902080
903805,904356
915155,925980
957191,958427
961530,962780
973530,978156
981280,985380
991056,992627
996780,998308
1012306,1013330
1016928,1023055
1030255,1031280
1032330,1033906
1035480,1038556
1059127,1060156
1066830,1069407
1079327,1080356
1097427,1098456
1112829,1119507
1121605,1122656
1124205,1125751
1142680,1145289
1162752,1165305
1166855,1168905
1169956,1172527
1173581,1188956
1230030,1233106
1245956,1261805
1263356,1270030
1270556,1272106
1282456,1283505
1311280,1337930
1344105,1346680
1347707,1359076
1367330,1373006
1374056,1375606
1376630,1377681
1380780,1384327
1385907,1391551
1394607,1395651
1397708,1400307
1401856,1403380
1410056,1411627
1422605,1429805
1455531,1456580
1459180,1461256
1467906,1469480
1474080,1475130
1477180,1478207
1488527,1497256
1498305,1528639
1534227,1543480
1546030,1547556
1566627,1567656
1605856,1624756
1626131,1629605
1654709,1656107
1675580,1677681
1681855,1683255
1686706,1689507
1692976,1698555
1699953,1702005
1704807,1706205
1708304,1708980
1732708,1734105
1749405,1752205
1839156,1839855
1841956,1842651
1846105,1849555
1850955,1853756
1898307,1901780
1903180,1905279
1907355,1909456
1912256,1912955
1914335,1915704
1917780,1919181
1923355,1924056
1928255,1933155
1934554,1937306
1939405,1941507
1946355,1947731
1951905,1953306
1956806,1958180
1961630,1963005
1966505,1968580
1970680,1972080
1976281,1979752
1981154,1982509
1984605,1986005
1990880,1994356
1995756,2002755
2006956,2009055
2013905,2019480
2021555,2044605
2046705,2048805
2050207,2053706
2056505,2059305
2062080,2064180
2067652,2069055
2070431,2074605
2076680,2082980
2084356,2085752
2087828,2088505
2106406,2107456
2111556,2112605
2124926,2138280
2156727,2157256
2188955,2189656
2217652,2220506
2227007,2229180
2239230,2240677
2262781,2263430
2300156,2304656
2310455,2311730
2314956,2316255
2318206,2320755
2324580,2325831
2467907,2468430
2668580,2674707
2725606,2727155
2733280,2734055
2899555,2901855
3010331,3011105
3049680,3051231
3115156,3116706
3125180,3128255
3141280,3144380
3147455,3158228
3233080,3233605
3243956,3245005
3494306,3495503
3574527,3577327
,
