Observation id,Behavior,Start (s),Stop (s),Duration (s),Start = 0 (ms),Stop (ms)
1455_Lpaw,start,363.006,363.006,NA,,
1455_Lpaw,lick,371.355,372.855,1.500,8349.000,9849.000
1455_Lpaw,lick,374.605,375.606,1.001,11599.000,12600.000
1455_Lpaw,lick,377.105,378.105,1.000,14099.000,15099.000
1455_Lpaw,lick,379.105,381.105,2.000,16099.000,18099.000
1455_Lpaw,lick,383.355,384.355,1.000,20349.000,21349.000
1455_Lpaw,lick,385.105,387.355,2.250,22099.000,24349.000
1455_Lpaw,lick,387.855,391.355,3.500,24849.000,28349.000
1455_Lpaw,lick,394.355,396.855,2.500,31349.000,33849.000
1455_Lpaw,lick,398.855,400.855,2.000,35849.000,37849.000
1455_Lpaw,lick,404.605,405.355,0.750,41599.000,42349.000
1455_Lpaw,lick,407.855,408.854,0.999,44849.000,45848.000
1455_Lpaw,lick,413.504,414.503,0.999,50498.000,51497.000
1455_Lpaw,lick,414.755,418.004,3.249,51749.000,54998.000
1455_Lpaw,lick,425.555,426.305,0.750,62549.000,63299.000
1455_Lpaw,lick,431.055,431.555,0.500,68049.000,68549.000
1455_Lpaw,lick,434.055,441.306,7.251,71049.000,78300.000
1455_Lpaw,lick,443.056,443.555,0.499,80050.000,80549.000
1455_Lpaw,lick,446.955,448.455,1.500,83949.000,85449.000
1455_Lpaw,lick,448.955,449.705,0.750,85949.000,86699.000
1455_Lpaw,lick,450.955,453.955,3.000,87949.000,90949.000
1455_Lpaw,lick,455.955,458.705,2.750,92949.000,95699.000
1455_Lpaw,lick,465.703,469.455,3.752,102697.000,106449.000
1455_Lpaw,lick,470.705,472.455,1.750,107699.000,109449.000
1455_Lpaw,lick,474.955,478.955,4.000,111949.000,115949.000
1455_Lpaw,lick,479.955,480.452,0.497,116949.000,117446.000
1455_Lpaw,lick,481.455,483.955,2.500,118449.000,120949.000
1455_Lpaw,lick,485.455,486.455,1.000,122449.000,123449.000
1455_Lpaw,lick,488.955,491.704,2.749,125949.000,128698.000
1455_Lpaw,lick,497.455,500.955,3.500,134449.000,137949.000
1455_Lpaw,lick,507.955,508.955,1.000,144949.000,145949.000
1455_Lpaw,lick,514.955,516.955,2.000,151949.000,153949.000
1455_Lpaw,lick,518.455,521.955,3.500,155449.000,158949.000
1455_Lpaw,lick,525.205,525.951,0.746,162199.000,162945.000
1455_Lpaw,lick,530.702,532.705,2.003,167696.000,169699.000
1455_Lpaw,lick,661.452,662.953,1.501,298446.000,299947.000
1455_Lpaw,lick,724.555,732.555,8.000,361549.000,369549.000
1455_Lpaw,lick,752.052,754.555,2.503,389046.000,391549.000
1455_Lpaw,lick,810.055,813.056,3.001,447049.000,450050.000
1455_Lpaw,lick,852.056,852.555,0.499,489050.000,489549.000
1455_Lpaw,lick,1223.056,1225.052,1.996,860050.000,862046.000
1455_Lpaw,lick,1373.657,1388.657,15.000,1010651.000,1025651.000
1455_Lpaw,lick,1518.486,1521.985,3.499,1155480.000,1158979.000
1455_Lpaw,lick,1523.485,1524.480,0.995,1160479.000,1161474.000
1455_Lpaw,lick,1636.035,1639.032,2.997,1273029.000,1276026.000
1455_Lpaw,lick,1640.030,1641.036,1.006,1277024.000,1278030.000
1455_Lpaw,lick,1641.536,1644.033,2.497,1278530.000,1281027.000
1455_Lpaw,lick,1740.441,1747.945,7.504,1377435.000,1384939.000
1455_Lpaw,lick,1749.438,1749.942,0.504,1386432.000,1386936.000
1455_Lpaw,lick,1767.155,1770.156,3.001,1404149.000,1407150.000
1455_Lpaw,lick,1771.656,1772.656,1.000,1408650.000,1409650.000
1455_Lpaw,lick,1773.156,1776.156,3.000,1410150.000,1413150.000
1455_Lpaw,lick,1778.656,1781.156,2.500,1415650.000,1418150.000
1455_Lpaw,lick,1792.156,1793.656,1.500,1429150.000,1430650.000
1455_Lpaw,lick,1796.656,1797.656,1.000,1433650.000,1434650.000
1455_Lpaw,lick,1853.606,1856.606,3.000,1490600.000,1493600.000
1455_Lpaw,lick,1860.106,1863.106,3.000,1497100.000,1500100.000
