start,end
5226,6858
11924,12733
14177,15664
20335,22116
26893,27337
28340,28982
29708,32845
37834,40499
41293,45898
46572,47488
47808,56621
57738,59326
67117,67291
75837,76728
84671,87941
88249,90459
92173,95400
95785,98092
100929,104213
111031,111319
143712,143940
146101,150823
152393,153758
156050,159124
161952,162176
162632,163815
164367,165869
167488,169012
169529,170840
172884,173191
173487,175739
186852,193233
193746,210978
213075,215203
216195,217236
219453,220636
224961,225171
225607,226854
319019,319751
320418,321411
335674,335892
339917,340354
386231,386525
394096,395911
396775,397936
399836,402246
588708,591220
816867,817343
824833,844311
847287,847495
848310,851466
856126,856403
861922,862556
862951,864010
1060238,1065345
1067764,1068061
1115629,1116324
1299389,1303673
1304070,1305693
1307338,1317641
1520301,1521612
1523390,1526505
1599348,1599757
2199296,2201433
2201801,2203389
2261840,2292963
2309063,2314707
2320207,2321396
2352050,2355369
2356578,2357386
2397185,2399925
2406739,2407192
2531838,2555394
2607268,2608155
2670552,2671928
2678253,2684574
2686778,2713059
2719050,2722959
2723702,2744687
2745914,2746237
2747570,2749767
2770810,2773502
2776056,2778255
2829059,2830433
2854573,2860471
2860865,2863406
2880454,2887845
2888346,2891177
2891463,2892839
2899668,2899888
2900461,2903335
2905207,2907564
2908069,2912187
2912875,2918571
2922917,2925985
2929299,2930262
2946126,2949416
2987772,2988973
3060489,3066052
3108210,3109032
3142658,3144014
3146825,3148419
3151007,3151688
3152135,3153087
3157021,3162250
3166792,3169960
3186449,3188950
3192799,3192990
3236867,3240755
3273899,3275139
3359197,3361822
3379836,3380223
3381286,3382024
3393053,3393941
3394688,3397477
3428888,3429632
3534588,3538898
