Observation id,Behavior,Start (s),Stop (s),Duration (s),Start = 0 (ms),Stop (ms)
1460_Rpaw,start,447.906,447.906,NA,,
1460_Rpaw,lick,460.805,465.554,4.749,12899.000,17648.000
1460_Rpaw,lick,466.804,469.303,2.499,18898.000,21397.000
1460_Rpaw,lick,470.555,471.803,1.248,22649.000,23897.000
1460_Rpaw,lick,472.804,475.554,2.750,24898.000,27648.000
1460_Rpaw,lick,478.555,481.555,3.000,30649.000,33649.000
1460_Rpaw,lick,482.052,484.053,2.001,34146.000,36147.000
1460_Rpaw,lick,485.553,490.555,5.002,37647.000,42649.000
1460_Rpaw,lick,493.252,505.250,11.998,45346.000,57344.000
1460_Rpaw,lick,506.002,509.506,3.504,58096.000,61600.000
1460_Rpaw,lick,510.755,513.751,2.996,62849.000,65845.000
1460_Rpaw,lick,520.005,520.752,0.747,72099.000,72846.000
1460_Rpaw,lick,521.503,525.252,3.749,73597.000,77346.000
1460_Rpaw,lick,527.255,530.255,3.000,79349.000,82349.000
1460_Rpaw,lick,531.756,536.255,4.499,83850.000,88349.000
1460_Rpaw,lick,536.755,537.505,0.750,88849.000,89599.000
1460_Rpaw,lick,540.755,544.002,3.247,92849.000,96096.000
1460_Rpaw,lick,549.755,555.004,5.249,101849.000,107098.000
1460_Rpaw,lick,560.755,564.005,3.250,112849.000,116099.000
1460_Rpaw,lick,564.755,566.002,1.247,116849.000,118096.000
1460_Rpaw,lick,575.755,577.252,1.497,127849.000,129346.000
1460_Rpaw,lick,589.753,591.755,2.002,141847.000,143849.000
1460_Rpaw,lick,600.955,601.455,0.500,153049.000,153549.000
1460_Rpaw,lick,609.104,610.605,1.501,161198.000,162699.000
1460_Rpaw,lick,613.605,614.852,1.247,165699.000,166946.000
1460_Rpaw,lick,616.105,626.353,10.248,168199.000,178447.000
1460_Rpaw,lick,626.853,629.854,3.001,178947.000,181948.000
1460_Rpaw,lick,631.105,637.854,6.749,183199.000,189948.000
1460_Rpaw,lick,646.856,647.351,0.495,198950.000,199445.000
1460_Rpaw,lick,696.255,704.752,8.497,248349.000,256846.000
1460_Rpaw,lick,709.005,710.503,1.498,261099.000,262597.000
1460_Rpaw,lick,720.252,721.005,0.753,272346.000,273099.000
1460_Rpaw,lick,750.051,756.304,6.253,302145.000,308398.000
1460_Rpaw,lick,763.053,774.805,11.752,315147.000,326899.000
1460_Rpaw,lick,776.554,783.301,6.747,328648.000,335395.000
1460_Rpaw,lick,784.055,786.803,2.748,336149.000,338897.000
1460_Rpaw,lick,824.555,825.305,0.750,376649.000,377399.000
1460_Rpaw,lick,840.552,841.052,0.500,392646.000,393146.000
1460_Rpaw,lick,1045.555,1050.803,5.248,597649.000,602897.000
1460_Rpaw,lick,1055.806,1056.301,0.495,607900.000,608395.000
1460_Rpaw,lick,1302.055,1303.057,1.002,854149.000,855151.000
1460_Rpaw,lick,1597.059,1604.057,6.998,1149153.000,1156151.000
1460_Rpaw,lick,1604.552,1607.057,2.505,1156646.000,1159151.000
1460_Rpaw,lick,1669.555,1680.057,10.502,1221649.000,1232151.000
1460_Rpaw,lick,1899.808,1913.308,13.500,1451902.000,1465402.000
1460_Rpaw,lick,2125.308,2133.807,8.499,1677402.000,1685901.000
