start,end
16047,18278
21734,23818
30635,31465
35407,39729
40390,42106
48183,48576
48836,49982
51530,51843
55348,55877
57076,62874
64237,69949
70364,72632
80184,80537
82269,88516
89410,90073
93243,95227
95737,97771
115822,117167
121925,122655
122850,125349
127314,132908
135858,136670
139005,143662
143972,145971
147752,150102
185455,185998
194048,196533
196760,199396
200659,202124
204559,205189
216986,219673
222592,223153
227394,227970
245553,246399
253649,256101
257115,264013
264907,267392
268923,269718
270565,271492
272188,272700
281422,281814
283796,292970
294533,310928
321384,322026
327219,327714
409140,409424
466064,466267
467797,467823
894282,895922
898322,899587
903978,904707
920988,922150
1305225,1306869
1308013,1308641
1309337,1312474
1318501,1324246
1324827,1334683
1335088,1335919
1339273,1342778
1343438,1347628
1350881,1352110
1354311,1354688
1387117,1396838
1398183,1401285
1404238,1405233
1410358,1410602
1443528,1443919
1448894,1449222
1466821,1467095
1497616,1497975
1511744,1513507
1514119,1517591
1519006,1520354
1521403,1529690
1531571,1539990
1540502,1544474
1544935,1580573
1603091,1605689
1615713,1617108
1629572,1630584
1635960,1637439
1643775,1646411
1649313,1651363
1683640,1687516
1691202,1693736
1751306,1751993
1817637,1818223
1834414,1835274
1842456,1843065
1860026,1863795
1872911,1873253
2075112,2075584
3572007,3572048
3581137,3583503
