start,end
11620,13159
13602,17721
18918,27851
29429,35485
36177,45124
45689,50176
52689,67526
79770,83444
86513,89296
92174,100448
103577,110141
116858,119366
125006,128631
152468,152842
179972,182843
186457,189248
191384,192425
193941,201630
240433,243382
259774,260739
341122,343293
357390,360482
395213,416480
440755,442420
449194,455924
462124,465314
474468,479228
497391,501074
510919,517198
518450,523002
547262,549001
549001,549221
558533,593941
600949,606698
621785,625293
681494,685928
809941,811225
1405071,1411768
1417449,1419049
1421210,1424290
1426870,1429296
1462406,1465208
1467626,1470161
1477644,1481178
1481178,1488690
1488690,1494884
1568071,1569784
1612272,1623062
1626876,1628976
1628976,1632952
1736307,1739236
1746061,1767584
1826952,1828048
1857147,1857147
1857147,1857147
1857147,1857147
1857147,1857147
1919323,1933826
1940642,1943244
1952256,1953688
1978349,1978505
2045113,2046480
2056736,2057433
2085203,2085911
2116244,2118874
2122052,2125095
2134088,2135385
2162010,2164802
2174540,2177390
2185276,2187774
2192297,2195281
2202724,2203913
2207159,2208976
2215461,2216618
2221159,2222015
2223260,2224393
2238862,2240519
2304091,2305387
2371709,2385881
2389794,2393426
2397366,2404581
2404581,2415384
2415384,2415782
2415782,2418555
2436218,2439703
2446728,2452115
2458917,2463028
2482678,2493011
2510299,2511796
3087541,3100372
3309234,3312997
3313983,3320032
3325572,3329335
3363526,3363871
3363871,3365526
3460432,3464433
