start,end
3771,5701
6558,7495
9919,10907
11511,15282
15871,17368
18385,19436
20824,21856
22923,23918
24108,24826
31131,35360
43468,45962
46331,50236
54775,59609
60083,61703
62726,64806
68179,68727
70130,72428
77830,79407
80514,85797
87502,93163
93637,98790
115948,117144
118583,119379
122203,126050
126939,131371
131660,132157
132778,134727
135146,140480
141182,142279
226395,229422
248076,259360
261512,262492
322237,331372
332210,353916
354016,360080
362604,364303
394244,414093
421411,443512
455918,460552
460552,460969
483563,485705
486473,486960
566356,567760
595285,601608
611226,613225
619731,631738
632232,632232
633614,635169
637323,645145
646301,648939
649396,655617
656091,662777
666717,686622
705071,725214
725868,728788
732341,748306
749925,759095
759847,786838
879249,880018
883874,885274
1005854,1040861
1050599,1060343
1060676,1088114
1088401,1106267
1192762,1211562
1240918,1260740
1273709,1277042
1326734,1328868
1406216,1410351
1413270,1415331
1419184,1427363
1528205,1530119
1619734,1650277
1654737,1657205
1658507,1690162
1711406,1723535
1726698,1727264
1730087,1741469
1749808,1751224
1754514,1755248
1760189,1761300
1762590,1766065
1767535,1771337
1772057,1772927
1773284,1777405
1784362,1785577
1789335,1795105
1796807,1799445
1809896,1810042
1812948,1815984
1818507,1820385
1821274,1822128
1823601,1825450
1829222,1833555
1962871,1964957
1972799,1973195
1997618,1997618
1999462,2000083
2003822,2005722
2040349,2042446
2050170,2053098
2059653,2059954
2084911,2088335
2091808,2100885
2101234,2105383
2106623,2115746
2117134,2120303
2120909,2126929
2128899,2169321
2170662,2177566
2177820,2185672
2190975,2209258
2209258,2209258
2210275,2215131
2220802,2235733
2237668,2238139
2294735,2305943
2306454,2307209
2308328,2310545
2310750,2314236
2316409,2321521
2322808,2325071
2327992,2328637
2331491,2360868
2362276,2363372
2383535,2384932
2387807,2392989
2396063,2399278
2407583,2407679
2417856,2422705
2424128,2426842
