Observation id,Behavior,Start (s),Stop (s),Duration (s),Start = 0 (ms),Stop (ms)
1462_Rpaw,start,527.455,527.455,NA,,
1462_Rpaw,lick,533.454,533.706,0.252,5999,6251
1462_Rpaw,lick,535.207,535.702,0.495,7752,8247
1462_Rpaw,lick,538.953,539.703,0.75,11498,12248
1462_Rpaw,lick,540.955,544.207,3.252,13500,16752
1462_Rpaw,lick,546.454,550.704,4.25,18999,23249
1462_Rpaw,lick,552.204,562.457,10.253,24749,35002
1462_Rpaw,lick,563.954,564.205,0.251,36499,36750
1462_Rpaw,lick,564.705,568.952,4.247,37250,41497
1462_Rpaw,lick,570.955,577.455,6.5,43500,50000
1462_Rpaw,lick,577.953,580.452,2.499,50498,52997
1462_Rpaw,lick,580.953,581.707,0.754,53498,54252
1462_Rpaw,lick,583.455,585.455,2,56000,58000
1462_Rpaw,lick,585.705,587.455,1.75,58250,60000
1462_Rpaw,lick,587.955,591.455,3.5,60500,64000
1462_Rpaw,lick,591.955,592.454,0.499,64500,64999
1462_Rpaw,lick,593.455,594.954,1.499,66000,67499
1462_Rpaw,lick,595.955,606.452,10.497,68500,78997
1462_Rpaw,lick,606.95,607.455,0.505,79495,80000
1462_Rpaw,lick,609.454,612.455,3.001,81999,85000
1462_Rpaw,lick,616.453,617.455,1.002,88998,90000
1462_Rpaw,lick,619.205,620.955,1.75,91750,93500
1462_Rpaw,lick,623.45,623.955,0.505,95995,96500
1462_Rpaw,lick,624.455,627.704,3.249,97000,100249
1462_Rpaw,lick,629.955,630.955,1,102500,103500
1462_Rpaw,lick,636.452,637.203,0.751,108997,109748
1462_Rpaw,lick,637.952,638.955,1.003,110497,111500
1462_Rpaw,lick,642.455,644.703,2.248,115000,117248
1462_Rpaw,lick,645.203,646.705,1.502,117748,119250
1462_Rpaw,lick,651.455,651.951,0.496,124000,124496
1462_Rpaw,lick,662.206,663.705,1.499,134751,136250
1462_Rpaw,lick,664.455,668.205,3.75,137000,140750
1462_Rpaw,lick,679.454,684.206,4.752,151999,156751
1462_Rpaw,lick,686.455,688.955,2.5,159000,161500
1462_Rpaw,lick,690.955,691.455,0.5,163500,164000
1462_Rpaw,lick,695.553,696.055,0.502,168098,168600
1462_Rpaw,lick,1026.301,1033.805,7.504,498846,506350
1462_Rpaw,lick,1186.304,1188.306,2.002,658849,660851
1462_Rpaw,lick,1524.055,1528.058,4.003,996600,1000603
1462_Rpaw,lick,1541.062,1541.558,0.496,1013607,1014103
1462_Rpaw,lick,1542.555,1545.059,2.504,1015100,1017604
1462_Rpaw,lick,1615.561,1616.052,0.491,1088106,1088597
1462_Rpaw,lick,1738.055,1738.558,0.503,1210600,1211103
1462_Rpaw,lick,1742.057,1745.051,2.994,1214602,1217596
1462_Rpaw,lick,1753.558,1754.058,0.5,1226103,1226603
1462_Rpaw,lick,1975.06,1975.555,0.495,1447605,1448100
1462_Rpaw,lick,2075.06,2075.56,0.5,1547605,1548105
1462_Rpaw,lick,2140.061,2141.557,1.496,1612606,1614102
1462_Rpaw,lick,2402.8,2407.802,5.002,1875345,1880347
1462_Rpaw,lick,2408.302,2409.31,1.008,1880847,1881855
1462_Rpaw,lick,2415.81,2421.31,5.5,1888355,1893855
1462_Rpaw,lick,2430.808,2432.302,1.494,1903353,1904847
1462_Rpaw,lick,2519.908,2522.406,2.498,1992453,1994951
1462_Rpaw,lick,2537.406,2537.908,0.502,2009951,2010453
1462_Rpaw,lick,2553.408,2553.906,0.498,2025953,2026451
1462_Rpaw,lick,2643.908,2645.408,1.5,2116453,2117953
1462_Rpaw,lick,2707.158,2707.658,0.5,2179703,2180203
1462_Rpaw,lick,2722.158,2722.658,0.5,2194703,2195203
1462_Rpaw,lick,2751.658,2759.158,7.5,2224203,2231703
1462_Rpaw,lick,2787.269,2788.268,0.999,2259814,2260813
1462_Rpaw,lick,3095.368,3097.373,2.005,2567913,2569918
1462_Rpaw,lick,3101.373,3101.873,0.5,2573918,2574418
1462_Rpaw,lick,3123.473,3126.473,3,2596018,2599018
1462_Rpaw,lick,3132.973,3133.473,0.5,2605518,2606018
1462_Rpaw,lick,3218.473,3220.473,2,2691018,2693018
1462_Rpaw,lick,3231.122,3252.622,21.5,2703667,2725167
1462_Rpaw,lick,3253.122,3253.622,0.5,2725667,2726167
1462_Rpaw,lick,3345.469,3347.472,2.003,2818014,2820017
1462_Rpaw,lick,3391.966,3392.972,1.006,2864511,2865517
1462_Rpaw,lick,3393.972,3394.471,0.499,2866517,2867016
1462_Rpaw,lick,3561.222,3575.718,14.496,3033767,3048263
1462_Rpaw,lick,3586.222,3588.722,2.5,3058767,3061267
1462_Rpaw,lick,3646.22,3646.722,0.502,3118765,3119267
1462_Rpaw,lick,3901.72,3918.219,16.499,3374265,3390764
1462_Rpaw,lick,3925.721,3926.222,0.501,3398266,3398767
1462_Rpaw,lick,4025.722,4027.219,1.497,3498267,3499764
1462_Rpaw,lick,4087.719,4100.716,12.997,3560264,3573261
1462_Rpaw,end,4128.971,4128.971,NA,3601516,3601516
