Observation id,Behavior,Start (s),Stop (s),Duration (s),Start = 0 (ms),Stop (ms)
1483_Lpaw,start,464.107,464.107,NA,,
1483_Lpaw,lick,477.103,480.355,3.252,12996,16248
1483_Lpaw,lick,481.106,483.105,1.999,16999,18998
1483_Lpaw,lick,484.855,485.606,0.751,20748,21499
1483_Lpaw,lick,487.105,489.355,2.25,22998,25248
1483_Lpaw,lick,490.605,492.101,1.496,26498,27994
1483_Lpaw,lick,493.105,495.853,2.748,28998,31746
1483_Lpaw,lick,496.105,498.855,2.75,31998,34748
1483_Lpaw,lick,499.355,501.605,2.25,35248,37498
1483_Lpaw,lick,502.355,503.358,1.003,38248,39251
1483_Lpaw,lick,504.605,505.601,0.996,40498,41494
1483_Lpaw,lick,506.6,508.355,1.755,42493,44248
1483_Lpaw,lick,509.605,515.852,6.247,45498,51745
1483_Lpaw,lick,517.105,518.355,1.25,52998,54248
1483_Lpaw,lick,519.855,520.855,1,55748,56748
1483_Lpaw,lick,521.35,529.355,8.005,57243,65248
1483_Lpaw,lick,529.851,530.853,1.002,65744,66746
1483_Lpaw,lick,531.854,533.107,1.253,67747,69000
1483_Lpaw,lick,534.856,539.356,4.5,70749,75249
1483_Lpaw,lick,539.856,543.606,3.75,75749,79499
1483_Lpaw,lick,545.108,546.856,1.748,81001,82749
1483_Lpaw,lick,552.105,553.356,1.251,87998,89249
1483_Lpaw,lick,566.358,567.105,0.747,102251,102998
1483_Lpaw,lick,571.852,573.355,1.503,107745,109248
1483_Lpaw,lick,579.605,584.851,5.246,115498,120744
1483_Lpaw,lick,588.357,595.856,7.499,124250,131749
1483_Lpaw,lick,596.601,608.855,12.254,132494,144748
1483_Lpaw,lick,611.605,613.855,2.25,147498,149748
1483_Lpaw,lick,614.106,615.601,1.495,149999,151494
1483_Lpaw,lick,617.606,622.102,4.496,153499,157995
1483_Lpaw,lick,622.355,641.606,19.251,158248,177499
1483_Lpaw,lick,644.354,644.605,0.251,180247,180498
1483_Lpaw,lick,648.355,649.606,1.251,184248,185499
1483_Lpaw,lick,650.356,657.605,7.249,186249,193498
1483_Lpaw,lick,662.856,665.356,2.5,198749,201249
1483_Lpaw,lick,668.852,670.856,2.004,204745,206749
1483_Lpaw,lick,681.854,682.854,1,217747,218747
1483_Lpaw,lick,685.106,738.356,53.25,220999,274249
1483_Lpaw,lick,749.354,751.852,2.498,285247,287745
1483_Lpaw,lick,758.356,760.604,2.248,294249,296497
1483_Lpaw,lick,790.855,794.355,3.5,326748,330248
1483_Lpaw,lick,804.105,807.355,3.25,339998,343248
1483_Lpaw,lick,861.104,865.855,4.751,396997,401748
1483_Lpaw,lick,887.356,889.104,1.748,423249,424997
1483_Lpaw,lick,898.856,902.856,4,434749,438749
1483_Lpaw,lick,914.606,916.107,1.501,450499,452000
1483_Lpaw,lick,917.104,920.356,3.252,452997,456249
1483_Lpaw,lick,920.854,956.854,36,456747,492747
1483_Lpaw,lick,966.355,967.351,0.996,502248,503244
1483_Lpaw,lick,1121.105,1133.355,12.25,656998,669248
1483_Lpaw,lick,1185.601,1187.857,2.256,721494,723750
1483_Lpaw,lick,1199.354,1202.102,2.748,735247,737995
1483_Lpaw,lick,1345.755,1354.501,8.746,881648,890394
1483_Lpaw,lick,1359.753,1361.755,2.002,895646,897648
1483_Lpaw,lick,1391.501,1407,15.499,927394,942893
1483_Lpaw,lick,1442.506,1447.255,4.749,978399,983148
1483_Lpaw,lick,1463.505,1465.255,1.75,999398,1001148
1483_Lpaw,lick,1476.504,1480.505,4.001,1012397,1016398
1483_Lpaw,lick,1500.005,1530.752,30.747,1035898,1066645
