Observation id,Behavior,Start (s),Stop (s),Duration (s),Start = 0 (ms),Stop (ms)
1457_Lpaw,start,406.758,406.758,NA,0.000,0.000
1457_Lpaw,lick,415.255,416.755,1.500,8497.000,9997.000
1457_Lpaw,lick,418.256,419.005,0.749,11498.000,12247.000
1457_Lpaw,lick,421.255,422.255,1.000,14497.000,15497.000
1457_Lpaw,lick,423.758,424.506,0.748,17000.000,17748.000
1457_Lpaw,lick,426.756,454.253,27.497,19998.000,47495.000
1457_Lpaw,lick,455.005,464.503,9.498,48247.000,57745.000
1457_Lpaw,lick,465.007,484.755,19.748,58249.000,77997.000
1457_Lpaw,lick,485.251,487.752,2.501,78493.000,80994.000
1457_Lpaw,lick,488.005,496.255,8.250,81247.000,89497.000
1457_Lpaw,lick,499.005,500.755,1.750,92247.000,93997.000
1457_Lpaw,lick,503.752,504.755,1.003,96994.000,97997.000
1457_Lpaw,lick,510.255,512.756,2.501,103497.000,105998.000
1457_Lpaw,lick,513.255,517.255,4.000,106497.000,110497.000
1457_Lpaw,lick,521.105,522.356,1.251,114347.000,115598.000
1457_Lpaw,lick,523.355,523.855,0.500,116597.000,117097.000
1457_Lpaw,lick,526.854,534.604,7.750,120096.000,127846.000
1457_Lpaw,lick,535.855,536.355,0.500,129097.000,129597.000
1457_Lpaw,lick,539.105,539.855,0.750,132347.000,133097.000
1457_Lpaw,lick,540.354,540.853,0.499,133596.000,134095.000
1457_Lpaw,lick,543.604,544.355,0.751,136846.000,137597.000
1457_Lpaw,lick,559.603,561.852,2.249,152845.000,155094.000
1457_Lpaw,lick,562.855,563.355,0.500,156097.000,156597.000
1457_Lpaw,lick,565.103,572.855,7.752,158345.000,166097.000
1457_Lpaw,lick,574.601,575.605,1.004,167843.000,168847.000
1457_Lpaw,lick,594.105,596.105,2.000,187347.000,189347.000
1457_Lpaw,lick,601.355,603.105,1.750,194597.000,196347.000
1457_Lpaw,lick,606.355,607.354,0.999,199597.000,200596.000
1457_Lpaw,lick,628.605,629.355,0.750,221847.000,222597.000
1457_Lpaw,lick,644.855,647.852,2.997,238097.000,241094.000
1457_Lpaw,lick,649.353,649.855,0.502,242595.000,243097.000
1457_Lpaw,lick,689.355,690.855,1.500,282597.000,284097.000
1457_Lpaw,lick,740.604,741.101,0.497,333846.000,334343.000
1457_Lpaw,lick,824.704,825.707,1.003,417946.000,418949.000
1457_Lpaw,lick,836.706,838.207,1.501,429948.000,431449.000
1457_Lpaw,lick,841.207,842.202,0.995,434449.000,435444.000
1457_Lpaw,lick,1225.952,1226.455,0.503,819194.000,819697.000
1457_Lpaw,lick,1579.208,1599.203,19.995,1172450.000,1192445.000
1457_Lpaw,lick,1637.015,1651.016,14.001,1230257.000,1244258.000
1457_Lpaw,lick,1692.017,1695.022,3.005,1285259.000,1288264.000
1457_Lpaw,lick,1702.515,1703.520,1.005,1295757.000,1296762.000
1457_Lpaw,lick,1823.016,1829.022,6.006,1416258.000,1422264.000
1457_Lpaw,lick,1872.058,1886.552,14.494,1465300.000,1479794.000
1457_Lpaw,lick,1952.806,1953.303,0.497,1546048.000,1546545.000
1457_Lpaw,lick,1972.858,1975.355,2.497,1566100.000,1568597.000
