Observation id,Behavior,Start (s),Stop (s),Duration (s),Start = 0 (ms),Stop (ms)
1486_Rpaw,start,371.408,371.408,NA,,
1486_Rpaw,lick,375.156,377.157,2.001,3748,5749
1486_Rpaw,lick,378.656,380.408,1.752,7248,9000
1486_Rpaw,lick,383.153,383.907,0.754,11745,12499
1486_Rpaw,lick,385.153,385.902,0.749,13745,14494
1486_Rpaw,lick,386.905,388.159,1.254,15497,16751
1486_Rpaw,lick,389.652,390.906,1.254,18244,19498
1486_Rpaw,lick,392.159,393.158,0.999,20751,21750
1486_Rpaw,lick,393.657,395.159,1.502,22249,23751
1486_Rpaw,lick,396.905,397.156,0.251,25497,25748
1486_Rpaw,lick,398.157,398.906,0.749,26749,27498
1486_Rpaw,lick,400.156,401.157,1.001,28748,29749
1486_Rpaw,lick,401.653,402.153,0.5,30245,30745
1486_Rpaw,lick,404.159,404.653,0.494,32751,33245
1486_Rpaw,lick,405.157,406.403,1.246,33749,34995
1486_Rpaw,lick,407.157,407.907,0.75,35749,36499
1486_Rpaw,lick,408.906,409.655,0.749,37498,38247
1486_Rpaw,lick,410.156,410.407,0.251,38748,38999
1486_Rpaw,lick,412.154,412.661,0.507,40746,41253
1486_Rpaw,lick,425.657,426.157,0.5,54249,54749
1486_Rpaw,lick,427.157,427.908,0.751,55749,56500
1486_Rpaw,lick,428.659,430.403,1.744,57251,58995
1486_Rpaw,lick,431.654,439.16,7.506,60246,67752
1486_Rpaw,lick,439.907,441.158,1.251,68499,69750
1486_Rpaw,lick,441.906,442.156,0.25,70498,70748
1486_Rpaw,lick,446.404,448.404,2,74996,76996
1486_Rpaw,lick,449.159,452.652,3.493,77751,81244
1486_Rpaw,lick,456.157,462.157,6,84749,90749
1486_Rpaw,lick,470.156,473.656,3.5,98748,102248
1486_Rpaw,lick,474.903,475.655,0.752,103495,104247
1486_Rpaw,lick,476.905,478.406,1.501,105497,106998
1486_Rpaw,lick,480.656,481.156,0.5,109248,109748
1486_Rpaw,lick,482.156,484.156,2,110748,112748
1486_Rpaw,lick,485.909,487.157,1.248,114501,115749
1486_Rpaw,lick,490.156,498.906,8.75,118748,127498
1486_Rpaw,lick,501.406,502.905,1.499,129998,131497
1486_Rpaw,lick,508.656,511.659,3.003,137248,140251
1486_Rpaw,lick,622.156,625.654,3.498,250748,254246
1486_Rpaw,lick,629.159,629.656,0.497,257751,258248
1486_Rpaw,lick,635.656,663.656,28,264248,292248
1486_Rpaw,lick,667.152,676.156,9.004,295744,304748
1486_Rpaw,lick,690.656,693.654,2.998,319248,322246
1486_Rpaw,lick,698.656,700.656,2,327248,329248
1486_Rpaw,lick,704.659,706.154,1.495,333251,334746
1486_Rpaw,lick,708.652,709.657,1.005,337244,338249
1486_Rpaw,lick,711.657,717.155,5.498,340249,345747
1486_Rpaw,lick,719.157,724.657,5.5,347749,353249
1486_Rpaw,lick,726.656,728.156,1.5,355248,356748
1486_Rpaw,lick,732.66,734.154,1.494,361252,362746
1486_Rpaw,lick,852.908,853.408,0.5,481500,482000
1486_Rpaw,lick,990.409,990.908,0.499,619001,619500
1486_Rpaw,lick,1025.908,1035.406,9.498,654500,663998
1486_Rpaw,lick,1211.257,1222.252,10.995,839849,850844
1486_Rpaw,lick,1248.233,1251.732,3.499,876825,880324
1486_Rpaw,lick,1255.231,1257.734,2.503,883823,886326
1486_Rpaw,lick,1265.726,1266.726,1,894318,895318
1486_Rpaw,lick,1269.73,1279.733,10.003,898322,908325
1486_Rpaw,lick,1293.228,1298.229,5.001,921820,926821
1486_Rpaw,lick,1303.235,1304.232,0.997,931827,932824
1486_Rpaw,lick,1308.228,1314.232,6.004,936820,942824
1486_Rpaw,lick,1323.728,1336.236,12.508,952320,964828
1486_Rpaw,lick,1338.733,1343.732,4.999,967325,972324
1486_Rpaw,lick,1344.233,1344.729,0.496,972825,973321
1486_Rpaw,lick,1345.733,1346.233,0.5,974325,974825
1486_Rpaw,lick,1347.731,1348.738,1.007,976323,977330
1486_Rpaw,lick,1363.228,1364.729,1.501,991820,993321
