start,end
4689,6790
9580,10825
16347,17977
20197,22912
26737,27535
30090,31458
32491,33544
33544,33605
33605,34681
36806,38223
38646,40049
40506,43393
43997,45366
46587,48238
48860,50147
51687,52520
55074,57195
57386,58406
59498,60934
110293,113356
274341,276310
276983,278439
352577,366979
367962,378461
379467,382605
408314,417481
418060,419580
420087,425392
425864,430401
435226,448293
601517,609051
838282,838327
1067792,1079807
1080745,1090865
1091316,1094620
1095075,1111141
1131812,1136111
1206724,1206774
1207028,1207693
1210665,1211083
1214190,1215311
1215999,1217718
1305983,1311952
1313070,1315844
1316050,1322270
1329793,1336090
1337462,1338360
1338815,1339433
1360090,1360951
1375424,1377353
1387458,1388855
1389358,1389646
1478230,1479136
1481005,1481722
1494212,1495523
1495995,1504933
1522853,1536416
1537617,1538731
1557092,1560307
1561696,1564661
1566746,1567631
1570720,1571468
1572457,1573137
1589464,1594544
1595164,1595698
1597165,1597820
1736537,1742437
1744687,1748084
1749523,1750755
1785880,1801026
1802096,1802662
1805202,1805570
1847045,1850130
1862804,1863883
1868622,1875504
2024788,2025137
2025137,2025862
3232747,3251668
3346464,3347066
3362753,3364381
