start,end
20221,21249
22572,26846
28171,32646
35273,41200
60472,63400
63921,65225
66800,70470
78648,81272
83346,93149
98400,99195
100497,106547
107322,113174
115271,119745
130271,130775
152025,153596
162296,168146
169696,173424
175274,178722
183499,195846
199223,201026
295175,330724
334399,341272
342827,350997
352596,368047
369370,374126
382075,386875
389274,441845
455175,455700
469771,472922
479272,485873
515947,526670
572772,574023
994700,1037376
1047174,1056623
1107274,1111199
1113174,1114350
1129324,1149723
1152847,1167423
1217875,1299446
1300621,1323825
1326546,1355826
1356598,1369596
1379448,1381426
1397900,1400671
1405426,1406622
1448900,1453175
1503125,1508899
1510225,1522949
1529346,1533825
1545399,1556573
1571672,1576700
1582774,1584600
1614999,1615798
1617898,1620525
1625275,1628723
1645925,1648096
1687271,1693300
1695446,1709270
1717475,1726046
1728421,1729470
1747600,1770399
1771198,1821725
1831572,1832099
1833675,1858925
1863397,1873925
1874470,1880022
1882146,1883999
1885072,1886925
1890122,1891423
1907597,1929096
1939746,1941295
2038196,2044700
2076626,2078326
2106395,2108071
2111776,2112620
2306100,2307345
2319246,2322120
2329999,2337824
2341971,2356471
2359776,2362322
2363148,2365997
2372646,2373872
2384246,2391329
2394601,2406975
2408676,2409501
2653496,2658447
2670400,2671225
2727995,2749126
2754499,2759422
2764776,2780124
2783876,2785526
2826146,2835726
2836551,2841100
3596201,3597275
