Observation id,Behavior,Start (s),Stop (s),Duration (s),Start = 0 (ms),Stop (ms)
1487_formalin,start,376.355,376.355,NA,,
1487_formalin,lick,391.356,392.86,1.504,15001,16505
1487_formalin,lick,393.36,394.358,0.998,17005,18003
1487_formalin,lick,395.36,395.855,0.495,19005,19500
1487_formalin,lick,399.356,407.86,8.504,23001,31505
1487_formalin,lick,409.36,412.361,3.001,33005,36006
1487_formalin,lick,414.36,415.861,1.501,38005,39506
1487_formalin,lick,420.359,424.861,4.502,44004,48506
1487_formalin,lick,429.361,431.858,2.497,53006,55503
1487_formalin,lick,433.361,434.36,0.999,57006,58005
1487_formalin,lick,435.354,435.858,0.504,58999,59503
1487_formalin,lick,436.856,438.361,1.505,60501,62006
1487_formalin,lick,441.857,450.36,8.503,65502,74005
1487_formalin,lick,465.61,467.11,1.5,89255,90755
1487_formalin,lick,469.11,475.61,6.5,92755,99255
1487_formalin,lick,481.61,484.611,3.001,105255,108256
1487_formalin,lick,485.11,491.61,6.5,108755,115255
1487_formalin,lick,492.11,496.11,4,115755,119755
1487_formalin,lick,500.11,502.61,2.5,123755,126255
1487_formalin,lick,540.11,542.11,2,163755,165755
1487_formalin,lick,578.107,580.105,1.998,201752,203750
1487_formalin,lick,676.61,678.603,1.993,300255,302248
1487_formalin,lick,679.108,684.61,5.502,302753,308255
1487_formalin,lick,694.61,696.11,1.5,318255,319755
1487_formalin,lick,848.109,849.61,1.501,471754,473255
1487_formalin,lick,917.108,918.605,1.497,540753,542250
1487_formalin,lick,1062.611,1063.607,0.996,686256,687252
1487_formalin,lick,1212.61,1216.105,3.495,836255,839750
1487_formalin,lick,1244.61,1245.609,0.999,868255,869254
1487_formalin,lick,1247.61,1249.607,1.997,871255,873252
1487_formalin,lick,1252.608,1254.604,1.996,876253,878249
1487_formalin,lick,1289.61,1293.607,3.997,913255,917252
1487_formalin,lick,1294.107,1296.111,2.004,917752,919756
1487_formalin,lick,1372.106,1375.605,3.499,995751,999250
1487_formalin,lick,1376.106,1379.607,3.501,999751,1003252
1487_formalin,lick,1380.611,1389.609,8.998,1004256,1013254
1487_formalin,lick,1437.856,1439.86,2.004,1061501,1063505
1487_formalin,lick,1471.36,1475.864,4.504,1095005,1099509
1487_formalin,lick,2087.608,2088.11,0.502,1711253,1711755
1487_formalin,lick,2801.36,2837.359,35.999,2425005,2461004
1487_formalin,lick,2837.862,2866.857,28.995,2461507,2490502
1487_formalin,lick,2926.609,2928.611,2.002,2550254,2552256
1487_formalin,lick,3041.46,3052.965,11.505,2665105,2676610
1487_formalin,lick,3054.458,3057.96,3.502,2678103,2681605
1487_formalin,lick,3200.46,3206.957,6.497,2824105,2830602
1487_formalin,lick,3322.954,3325.46,2.506,2946599,2949105
1487_formalin,lick,3871.457,3877.457,6,3495102,3501102
1487_formalin,lick,3919.955,3923.454,3.499,3543600,3547099
1487_formalin,end,3976.958,3976.958,NA,3600603,3600603
