start,end
10752,11421
12812,20466
20907,25444
26251,28323
28979,32234
36907,47043
53779,55418
59357,63312
64469,69173
72513,77647
79854,82589
93327,97779
125213,130287
141906,149441
234752,240994
241633,255384
259924,269958
397638,405928
406666,409138
823074,831495
832585,835440
838314,846534
853554,859738
1024592,1029859
1031033,1041104
1042193,1043583
1044509,1045799
1048407,1052045
1052968,1054324
1060662,1061518
1073203,1082040
1084497,1086221
1095525,1096361
1103016,1107802
1131786,1144852
1145657,1158108
1186504,1188152
1193025,1212458
1218267,1228302
1245519,1253220
1261190,1266625
1267466,1270102
1344552,1350308
1399116,1403106
1404094,1415496
1417903,1418942
1420983,1427186
1431525,1432964
1436038,1439160
1441417,1443723
1449151,1450343
1472593,1481477
1482116,1492701
1494072,1499260
1505547,1509450
1511724,1526439
1527697,1534501
1540837,1547039
1552313,1565548
1662771,1664930
1669036,1674539
1676894,1681031
1683406,1684692
1686017,1690854
1693276,1694082
1718299,1719402
1722407,1723563
1739334,1739954
1743177,1743834
1746709,1756043
1756748,1763702
1802413,1812337
1813775,1820829
1826468,1837317
2169839,2179131
2227559,2232018
2266047,2360270
2375917,2430203
2439903,2478064
3386820,3390663
3392187,3411920
3494601,3512138
