Observation id,Behavior,Start (s),Stop (s),Duration (s),Start = 0 (ms),Stop (ms)
1382_Lpaw,start,563.211,563.211,NA,,
1382_Lpaw,lick,574.955,575.955,1.000,11744.000,12744.000
1382_Lpaw,lick,576.206,577.705,1.499,12995.000,14494.000
1382_Lpaw,lick,589.207,590.454,1.247,25996.000,27243.000
1382_Lpaw,lick,593.704,595.205,1.501,30493.000,31994.000
1382_Lpaw,lick,595.955,596.955,1.000,32744.000,33744.000
1382_Lpaw,lick,597.707,598.200,0.493,34496.000,34989.000
1382_Lpaw,lick,599.701,600.951,1.250,36490.000,37740.000
1382_Lpaw,lick,605.955,606.955,1.000,42744.000,43744.000
1382_Lpaw,lick,608.955,609.705,0.750,45744.000,46494.000
1382_Lpaw,lick,612.955,613.455,0.500,49744.000,50244.000
1382_Lpaw,lick,615.855,617.105,1.250,52644.000,53894.000
1382_Lpaw,lick,629.855,631.351,1.496,66644.000,68140.000
1382_Lpaw,lick,638.855,640.355,1.500,75644.000,77144.000
1382_Lpaw,lick,667.855,669.355,1.500,104644.000,106144.000
1382_Lpaw,lick,671.355,672.855,1.500,108144.000,109644.000
1382_Lpaw,lick,676.355,676.855,0.500,113144.000,113644.000
1382_Lpaw,lick,687.355,688.105,0.750,124144.000,124894.000
1382_Lpaw,lick,688.355,691.355,3.000,125144.000,128144.000
1382_Lpaw,lick,692.555,693.554,0.999,129344.000,130343.000
1382_Lpaw,lick,696.555,705.053,8.498,133344.000,141842.000
1382_Lpaw,lick,707.555,710.805,3.250,144344.000,147594.000
1382_Lpaw,lick,713.852,714.855,1.003,150641.000,151644.000
1382_Lpaw,lick,721.352,721.856,0.504,158141.000,158645.000
1382_Lpaw,lick,727.355,728.355,1.000,164144.000,165144.000
1382_Lpaw,lick,733.352,733.855,0.503,170141.000,170644.000
1382_Lpaw,lick,742.355,747.605,5.250,179144.000,184394.000
1382_Lpaw,lick,800.155,815.655,15.500,236944.000,252444.000
1382_Lpaw,lick,817.153,821.153,4.000,253942.000,257942.000
1382_Lpaw,lick,833.655,837.153,3.498,270444.000,273942.000
1382_Lpaw,lick,838.155,842.155,4.000,274944.000,278944.000
1382_Lpaw,lick,845.155,845.655,0.500,281944.000,282444.000
1382_Lpaw,lick,848.153,852.153,4.000,284942.000,288942.000
1382_Lpaw,lick,855.153,855.655,0.502,291942.000,292444.000
1382_Lpaw,lick,865.155,867.155,2.000,301944.000,303944.000
1382_Lpaw,lick,882.655,885.655,3.000,319444.000,322444.000
1382_Lpaw,lick,887.155,889.155,2.000,323944.000,325944.000
1382_Lpaw,lick,891.403,897.153,5.750,328192.000,333942.000
1382_Lpaw,lick,909.655,910.655,1.000,346444.000,347444.000
1382_Lpaw,lick,933.655,938.405,4.750,370444.000,375194.000
1382_Lpaw,lick,957.654,960.655,3.001,394443.000,397444.000
1382_Lpaw,lick,1009.155,1009.905,0.750,445944.000,446694.000
1382_Lpaw,lick,1062.955,1071.455,8.500,499744.000,508244.000
1382_Lpaw,lick,1079.955,1091.455,11.500,516744.000,528244.000
1382_Lpaw,lick,1091.955,1096.453,4.498,528744.000,533242.000
1382_Lpaw,lick,1103.955,1104.455,0.500,540744.000,541244.000
1382_Lpaw,lick,1115.105,1121.355,6.250,551894.000,558144.000
1382_Lpaw,lick,1122.855,1128.355,5.500,559644.000,565144.000
1382_Lpaw,lick,1129.855,1130.855,1.000,566644.000,567644.000
1382_Lpaw,lick,1244.355,1248.355,4.000,681144.000,685144.000
1382_Lpaw,lick,1333.055,1339.804,6.749,769844.000,776593.000
1382_Lpaw,lick,1427.805,1428.553,0.748,864594.000,865342.000
1382_Lpaw,lick,1707.707,1719.202,11.495,1144496.000,1155991.000
1382_Lpaw,lick,1725.205,1726.205,1.000,1161994.000,1162994.000
1382_Lpaw,lick,1859.707,1870.207,10.500,1296496.000,1306996.000
1382_Lpaw,lick,1875.200,1878.705,3.505,1311989.000,1315494.000
1382_Lpaw,lick,2081.207,2104.702,23.495,1517996.000,1541491.000
1382_Lpaw,lick,2105.207,2120.207,15.000,1541996.000,1556996.000
1382_Lpaw,lick,2134.701,2136.207,1.506,1571490.000,1572996.000
1382_Lpaw,lick,2140.207,2171.206,30.999,1576996.000,1607995.000
1382_Lpaw,lick,2172.707,2174.706,1.999,1609496.000,1611495.000
1382_Lpaw,lick,2176.705,2177.707,1.002,1613494.000,1614496.000
1382_Lpaw,lick,2200.764,2203.264,2.500,1637553.000,1640053.000
1382_Lpaw,lick,2205.265,2205.765,0.500,1642054.000,1642554.000
1382_Lpaw,lick,2211.264,2211.764,0.500,1648053.000,1648553.000
1382_Lpaw,lick,2231.679,2237.675,5.996,1668468.000,1674464.000
